smiles,pred_0
C(COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)O,-14.024771749613384
C(COCCOCCOCCOCCOCCOCCOCCO)O,-13.587471895418163
C(COCCOCCOCCOCCOCCOCCOCCOCCOCCO)O,-13.90178272676113
C(COCCOCCOCCOCCOCCOCCOCCOCCO)O,-13.756615906747928
C(COCCOCCOCCOCCOCCOCCO)O,-13.3693128868542
C(COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)O,-14.339357341622932
C(COCCOCCOCCOCCOCCOCCOCCOCCOCCO)O,-13.90178272676113
C(COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)O,-14.339357341622932
C(COCCOCCOCCOCCOCCO)O,-13.096643667724411
CC1(CC(CC(N1)(C)C)O)C,-11.160674246782406
COCCOCCOCCOCCOCCO,-11.42697305339436
C(COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)O,-14.569262849034065
C(COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)O,-14.125582014603062
C(COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)O,-14.280641179314824
