smiles,pred_0
C(COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)O,-0.7116793610695917
C(COCCOCCOCCOCCOCCOCCOCCO)O,-0.8357211174600727
C(COCCOCCOCCOCCOCCOCCOCCOCCOCCO)O,-0.7560887633868241
C(COCCOCCOCCOCCOCCOCCOCCOCCO)O,-0.799749005221007
C(COCCOCCOCCOCCOCCOCCO)O,-0.8647620523178263
C(COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)O,-0.5410485378285683
C(COCCOCCOCCOCCOCCOCCOCCOCCOCCO)O,-0.7560887633868241
C(COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)O,-0.5410485378285683
C(COCCOCCOCCOCCOCCO)O,-0.8835101108470251
CC1(CC(CC(N1)(C)C)O)C,-2.4518415092837675
COCCOCCOCCOCCOCCO,-1.35209844968972
C(COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)O,-0.069962660695984
C(COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)O,-0.6668659430835344
C(COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)O,-0.5827351631205415
