smiles,pred_0
C(COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)O,3.040640655926907e-11
C(COCCOCCOCCOCCOCCOCCOCCO)O,2.4060515732560184e-11
C(COCCOCCOCCOCCOCCOCCOCCOCCOCCO)O,2.8384735534237038e-11
C(COCCOCCOCCOCCOCCOCCOCCOCCO)O,2.6290773377790622e-11
C(COCCOCCOCCOCCOCCOCCO)O,2.1592979140838686e-11
C(COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)O,3.8360984527807673e-11
C(COCCOCCOCCOCCOCCOCCOCCOCCOCCO)O,2.8384735534237038e-11
C(COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)O,3.8360984527807673e-11
C(COCCOCCOCCOCCOCCO)O,1.8944045984681246e-11
CC1(CC(CC(N1)(C)C)O)C,7.147964335258173e-22
COCCOCCOCCOCCOCCO,1.4463642956930034e-11
C(COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)O,9.309624598996535e-11
C(COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)O,3.238980958442106e-11
C(COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)O,3.635243842059488e-11
