smiles,pred_0
C(COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)O,-1468.926770659947
C(COCCOCCOCCOCCOCCOCCOCCO)O,-1397.3743434809692
C(COCCOCCOCCOCCOCCOCCOCCOCCOCCO)O,-1447.4874212806349
C(COCCOCCOCCOCCOCCOCCOCCOCCO)O,-1424.2624292199946
C(COCCOCCOCCOCCOCCOCCO)O,-1366.0110516049788
C(COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)O,-1537.8174180393394
C(COCCOCCOCCOCCOCCOCCOCCOCCOCCO)O,-1447.4874212806349
C(COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)O,-1537.8174180393394
C(COCCOCCOCCOCCOCCO)O,-1329.3574683690908
CC1(CC(CC(N1)(C)C)O)C,-1252.2882919902308
COCCOCCOCCOCCOCCO,-1408.3394215380354
C(COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)O,-1666.104571903526
C(COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)O,-1488.9315107252182
C(COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)O,-1523.2116739738278
